review_id,restaurant_id,date,rating,review_text,monthly_sales,complaints_count,avg_rating,staff_turnover,risk_label
1,99,5/1/2025,5,Should doctor paper land third realize rich easy summer each center key receive break.,1136665,33,3.43,0,0
2,155,5/28/2025,1,Product water after already face effort possible toward number sound price technology agent control whole.,1661627,32,3.55,17,0
3,174,8/30/2025,2,Tree play my likely any model smile address officer record worker we current first officer do son night black thousand program three.,1212846,25,4.99,8,0
4,16,10/17/2024,4,Almost cell sell away civil task.,1440522,37,3.4,17,0
5,119,4/26/2025,4,Section space state investment know laugh heart recently less sometimes feeling create toward policy reflect need write economy.,1893463,9,4.36,13,0
6,33,2/22/2025,4,Develop throw scene someone executive cup culture few hospital arm other long place.,1666165,22,4.6,12,0
7,15,9/27/2024,1,Describe hit a wait perhaps even against air fish manage itself top catch peace impact tend unit certain research.,1350201,24,3.62,0,0
8,34,9/26/2024,4,Energy fill phone meeting treat ability southern social cell tax but own.,646834,7,3.43,4,0
9,12,4/14/2025,1,Child reflect usually explain north force.,1641079,4,4.23,13,0
10,43,8/18/2025,2,No power student stage traditional next player stock hour crime manager manage free others nation describe boy film do camera red.,953225,36,4.67,1,0
11,132,3/9/2025,4,Major catch ok author Democrat cup work happy kid world fact after land hair matter public or.,957918,38,4.48,14,0
12,163,11/17/2024,1,Between cause ask involve teacher team address address.,239813,25,3.2,3,0
13,31,7/15/2025,3,Read artist fall material sing little him indicate road win their a purpose.,1242763,32,4.37,1,0
14,123,10/18/2024,3,Nearly area prove drop end eight reality let medical within kind water himself others market fall popular.,1191547,10,3.16,19,0
15,54,10/4/2024,2,Town skill perhaps role young our middle method care.,870392,5,2.65,17,0
16,129,11/7/2024,5,Arm similar war character local physical turn manage trip.,1516589,3,3.85,6,0
17,88,5/28/2025,1,Chance indicate try fill old main.,571110,18,4.21,12,0
18,194,3/14/2025,5,Never level year care yeah window listen move east fine.,703109,7,3.81,1,0
19,97,1/18/2025,3,Work military opportunity evidence wish policy base notice doctor check friend anything right notice parent audience.,823804,7,2.85,10,0
20,37,5/29/2025,4,Mean draw weight wall spend either common sport many save only once plan clear region phone green hot although.,725990,38,4.25,13,0
21,114,9/22/2024,3,Bit son project health ball organization news surface arm between person smile marriage force economic question probably plan election.,552526,31,2.77,9,1
22,87,8/26/2025,3,Quite you challenge forward before for course foreign term buy on effort figure thousand drop build hold news month itself.,1750343,9,3.02,3,0
23,115,9/15/2024,2,Who show meeting early finally firm at image name north individual ability culture stock believe lot certain miss however.,284419,19,4.46,11,0
